medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
663B7A92F7677B4807449344FDD373ED,F432026C7EDFE2B31245E415B6E84C0F,CMT,CSH,9.50,0.00,0.50,0.00,0.00,11.0,1,2013-01-14 10:08:40,2013-01-14 10:21:08,1,747,1.50,-73.986313,40.745548,-73.981529,40.729210,
663B7A92F7677B4807449344FDD373ED,F432026C7EDFE2B31245E415B6E84C0F,CMT,CSH,9.50,0.00,0.50,0.00,0.00,10.00,1,2013-01-14 08:52:15,2013-01-14 09:00:20,1,484,2.40,-73.993111,40.730934,-73.966881,40.753071,
1EB647AF151777C472FF673CA2A7ECF7,139B1D8AC65D0C9C6DF3A562D2A82B97,CMT,CSH,5.50,0.50,0.50,0.00,0.00,6.50,1,2013-01-13 22:45:24,2013-01-13 22:50:14,3,289,0.90,-73.988388,40.740963,-73.989243,40.731590,
E2D3AAB9B9D5C866BD24D932463D8FC5,AD5043CDB3ABC767A0ED49DEA88E2932,CMT,CSH,5.50,0.00,0.50,0.00,0.00,6.00,1,2013-01-14 08:50:08,2013-01-14 08:56:14,1,366,0.50,-73.967644,40.762791,-73.967049,40.757057,
C612423A09BF7298B817EBB674E7DC11,42DF04160A5453F241D3C6510DBF479B,CMT,CSH,8.50,0.00,0.50,0.00,0.00,9.00,1,2013-01-14 10:03:03,2013-01-14 10:12:38,1,575,1.30,-74.006485,40.737026,-74.007286,40.751598,
930A4A40C9BC9ED01468B55457CE445D,CB45AF1325D68002FA5CA9288E495E21,CMT,CSH,9.00,0.00,0.50,0.00,0.00,9.50,1,2013-01-14 15:07:45,2013-01-14 15:18:39,4,654,1.60,-73.987305,40.739002,-73.989922,40.755650,
511B6B723C79271F051DAD41A5B34454,EF57693ACB6975A024AA52402F163951,CMT,CSH,19.50,0.50,0.50,0.00,0.00,20.50,1,2013-01-13 21:20:38,2013-01-13 21:37:31,1,1013,6.70,-74.004669,40.723900,-73.941376,40.804798,
B7D6B0EFACD1B8860AA51BD9C1B68329,0A79B8C226D15550087A10D1BF77CBB9,CMT,CSH,10.50,0.00,0.50,0.00,0.00,11.00,1,2013-01-14 08:03:49,2013-01-14 08:17:53,1,844,1.40,0.000000,0.000000,0.000000,0.000000,
B7D6B0EFACD1B8860AA51BD9C1B68329,0A79B8C226D15550087A10D1BF77CBB9,CMT,CSH,10.50,0.00,0.50,0.00,0.00,12.0,1,2013-01-14 08:03:49,2013-01-14 08:17:53,1,844,1.40,0.000000,0.000000,0.000000,0.000000,
9D1CE7E9B4EC44D5D39861C98A8BC799,0ED33949F9FE36532824559A9021B531,CMT,CSH,7.50,0.00,0.50,0.00,0.00,8.00,1,2013-01-14 12:58:01,2013-01-14 13:05:31,2,450,1.50,-73.978638,40.749191,-73.981239,40.763672,
