medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
7C656D41E55C63899BFEED59030159B3,23DF80C977D15141F11DD713C523C311,CMT,CRD,8.50,0.50,0.50,1.90,0.00,11.40,1,2013-01-11 20:07:40,2013-01-11 20:17:58,1,617,1.50,-73.971024,40.755203,-73.985703,40.745106,4916744345615387
1515EEC14BA4145700E1F8D8F62732F2,D5E8B2C0FA13DDF13D5275883ED45668,CMT,CRD,10.00,1.00,0.50,1.00,0.00,12.50,1,2013-01-11 18:25:09.000,2013-01-11 18:37:02.000,1,713,2.30,-73.951607,40.766327,-73.975952,40.779591,4486477517019076
A0432BA6B2E7C5B7DD23179092E551DB,E6EFC44C8411B31F2699D4E2BD6DFE3B,CMT,CRD,10.00,1.00,0.50,2.87,0.00,14.37,1,2013-01-11 18:23:40,2013-01-11 18:36:41,2,780,1.90,-74.004318,40.721779,-73.978928,40.723862,4539524525878618
6E0952526E35625B34C8C357F64986F9,272F892B62F642AED9E7A1FB09FA9DD8,CMT,CRD,8.00,1.00,0.50,1.50,0.00,11.00,1,2013-01-11 18:06:16,2013-01-11 18:14:56,1,519,1.80,-73.949387,40.788025,-73.972946,40.785381,4556637000748821
4DA24F216044FC5CD46AA081A9B6B455,704A570E66ABB194159C1F653503D454,CMT,CRD,17.50,1.00,0.50,5.70,0.00,24.70,1,2013-01-11 19:39:29,2013-01-11 19:57:29,1,1079,4.90,-74.017242,40.711285,-73.982986,40.767849,5582720423549854
99F1C8935E783A5DA83A2A37A15F45D1,7C5A69DDA57BB521F7A75B0186CF332C,CMT,CRD,9.00,0.00,0.50,1.90,0.00,11.40,1,2013-01-11 13:35:38,2013-01-11 13:48:01,2,742,0.80,-74.001549,40.739262,-73.986755,40.760818,5487129359724471
20EA444668EF9FFAE2D5EB996883E485,DAE192D017DC12F4202FAB53FF75AEBF,CMT,CRD,6.00,0.50,0.50,1.50,0.00,8.50,1,2013-01-11 20:13:48,2013-01-11 20:20:01,1,373,1.00,-73.991516,40.734291,-73.999809,40.727108,4916993954236072
9053E062FE9CA0CF5A58F60F93F48B98,860415DA365FE74D43077A48F4ABA3B4,CMT,CRD,15.50,1.00,0.50,3.40,0.00,20.40,1,2013-01-11 19:08:49,2013-01-11 19:30:03,1,1274,3.40,-74.007584,40.705658,-73.976585,40.683601,4024007126219343
34DA8A16753DEA2DEE47DDEC59C7C0EF,A57CB849A081009739DAE90096354C4C,CMT,CRD,23.00,1.00,0.50,4.90,0.00,29.40,1,2013-01-11 19:05:47,2013-01-11 19:29:44,1,1436,7.20,-73.952675,40.768288,-73.957985,40.717552,4716513689832227
77A4CF838A0BA193E2488CD5F4334D53,2FBFEAB71D29C7F532A454397F4F4374,CMT,CRD,19.00,1.00,0.50,4.10,0.00,24.60,1,2013-01-11 19:06:47,2013-01-11 19:30:28,1,1421,4.90,-73.954239,40.770222,-74.001854,40.740665,5446918968120810
7E2C7CBD8143746E325D93BE83E6B8EB,BC46E2FF430A9D9190B96C6AA9D1F8F8,CMT,CRD,13.00,1.00,0.50,0.00,0.00,14.50,1,2013-01-11 19:09:16,2013-01-11 19:27:08,1,1072,2.40,-73.993179,40.727776,-74.004959,40.707096,4716470194876936
E5DA7E65771D6E4182E909FF3DC71A3E,D5F05B47E0B3971CC8E2404E5B78FA9E,CMT,CRD,5.00,0.50,0.50,1.20,0.00,7.20,1,2013-01-11 21:31:14,2013-01-11 21:35:20,1,246,0.60,-73.986580,40.766331,-73.993690,40.758842,4532319543463585
